id,predicted_prices
6825100015,469147.75588427036
1698900195,622298.3346285897
2848700585,401372.73260423855
2597690050,366218.96694048436
8944600200,589134.9763357653
3709600190,392887.5757933312
4309710240,694544.6216374951
104550520,236819.51566103284
1211000070,629058.8684316975
5248800440,275997.71934569493
7633400110,266560.5753144779
1535204165,465925.9628630322
9528102060,516335.5259455489
6822100305,563326.7190719389
4365700330,291774.0979538834
2663000345,854903.6322547107
3390600025,531602.5831429902
1773101050,322160.6195062011
9828702666,392490.0157568754
6058600385,367084.13697095733
7575610170,302162.1398800955
7852150220,431808.0697223186
1079350090,285368.5454608817
9835800750,315149.5376287781
5016003146,626342.7015248209
1266200120,387085.7404163432
1245500099,594411.2475221717
6821100125,312929.36862549244
1324059104,726021.2216110262
267000130,570270.5305164413
1437900020,393197.83801726566
8073000495,636612.025043364
7856410430,1806993.3584226936
3783100080,260856.07665352285
3384300100,198842.05266750828
7853300290,448110.70381283545
952003585,744075.8707007052
9406500310,259343.40633181937
5739601300,375962.2705948848
6117502220,1044598.9045338588
4141000060,886466.873212249
4030100005,1146324.1009223443
3762900010,528121.9887115123
8122100690,424833.2001312656
9523103590,514234.5090471854
625049274,452858.37523515185
4415600030,350426.2944722875
5469501850,431832.22211578017
4331400190,309205.0558211061
1498301213,407811.36732039385
418000010,159581.38477458578
946000295,390105.73246785474
3621059043,646478.3603208896
8682250090,757798.0018930787
1117200170,1097320.1884199674
3738000070,690632.9320378223
9269750690,227624.3211208576
393000311,584020.4110054007
1250202324,768719.8218855753
7236500025,371352.3475683297
7149400450,265293.30051867134
4019300195,676048.1427552382
3329510200,327643.5222370728
7340600827,246124.0738084275
5200087,753004.4280575172
641900050,489425.50722295645
3083000365,379298.79056660796
7849202231,337238.0312683223
2051200436,707737.4508034419
1939130420,656709.1705057956
3629920630,577134.2220422075
8029500360,390406.8001109063
5560000540,196416.05896245054
49500090,289663.3933926221
7923000360,515724.6642528682
3151600035,266486.4118709982
2326059099,890261.7979796282
225069017,702281.2555505282
9477710160,398768.9970266985
1895000260,373888.5388313608
4318200405,803612.2865605436
7764200030,427424.729327126
3787000120,588165.2349707625
2490200615,368227.6784373864
3761100276,801660.6842596605
